author,quote
James Charles,I'm having fun. I'm being myself. I'm doing what I love. That's all that matters.
Simone Biles,"At the end of the day, if I can say I had fun, it was a good day."
Michael Jordan,Just play. Have fun. Enjoy the game.
Jonathan Sacks,"Make space in your life for the things that matter, for family and friends, love and generosity, fun and joy. Without this, you will burn out in mid-career and wonder where your life went."
Walt Disney,It's kind of fun to do the impossible.
Rekha,The bottom line is to have fun and enjoy life.
Dale Carnegie,People rarely succeed unless they have fun in what they are doing.
Dr. Seuss,Today was good. Today was fun. Tomorrow is another one.
Joe Namath,"When you have confidence, you can have a lot of fun. And when you have fun, you can do amazing things."
Charles R. Swindoll,"I cannot even imagine where I would be today were it not for that handful of friends who have given me a heart full of joy. Let's face it, friends make life a lot more fun."
Sally Ride,Science is fun. Science is curiosity. We all have natural curiosity. Science is a process of investigating. It's posing questions and coming up with a method. It's delving in.
Lonnie Johnson,I love playing around with ideas and turning them into something useful or fun.
Jackie Robinson,"This ain't fun. But you watch me, I'll get it done."
Raini Rodriguez,"Bullying is never fun, it's a cruel and terrible thing to do to someone. If you are being bullied, it is not your fault. No one deserves to be bullied, ever."
Katharine Hepburn,If you obey all the rules you miss all the fun.
Ricky Gervais,"I think you can make fun of anything except things people can't help. They can't help their race or their sex or their age, so you ridicule their pretension or their ego instead. You can ridicule ideas - ideas don't have feelings. You can ridicule an idea that someone holds without hurting them."
Christopher Parker,Procrastination is like a credit card: it's a lot of fun until you get the bill.
J-Hope,Do what you want to try doing. Take whatever you get out of it and have fun.
A. A. Milne,"It is more fun to talk with someone who doesn't use long, difficult words but rather short, easy words, like 'What about lunch?'"
LL Cool J,Dreams don't have deadlines. I'm thinking of doing bigger and better things and having more fun with it.
Paul Walker,"My philosophy is: If you can't have fun, there's no sense in doing it."
Pat Summitt,Winning is fun... Sure. But winning is not the point. Wanting to win is the point. Not giving up is the point. Never letting up is the point. Never being satisfied with what you've done is the point.
"Tyler, The Creator","I'm a pretty nice dude. I have fun, and people take it the wrong way."
Betty White,I just make it my business to get along with people so I can have fun. It's that simple.
James Hetfield,"It's all fun and games 'till someone loses an eye, then it's just fun you can't see."
Amelia Earhart,"Flying might not be all plain sailing, but the fun of it is worth the price."
Andrew Jackson,There is no pleasure in having nothing to do; the fun is having lots to do and not doing it.
Lindsey Vonn,"If you go around being afraid, you're never going to enjoy life. You have only one chance, so you've got to have fun."
Ian McShane,The bad boy: always more fun.
Twiggy,There's no need to dress like everyone else. It's much more fun to create your own look.
Lil Baby,"I just save my money, man. I don't even try to enjoy it like these other rappers; they having fun and they lit, but they gon' be broke later on. I be savin', I be chillin'. It feels good to know I got it, but it feel better to know I'ma keep it too."
Demetri Martin,"Swimming is a confusing sport, because sometimes you do it for fun, and other times you do it to not die. And when I'm swimming, sometimes I'm not sure which one it is."
Coolio,Life is too short to not have fun; we are only here for a short time compared to the sun and the moon and all that.
Thomas A. Edison,I never did a day's work in my life. It was all fun.
Randy Pausch,"Never, ever underestimate the importance of having fun."
Jean Chatzky,"While you're going through this process of trying to find the satisfaction in your work, pretend you feel satisfied. Tell yourself you had a good day. Walk through the corridors with a smile rather than a scowl. Your positive energy will radiate. If you act like you're having fun, you'll find you are having fun."
Priyanka Chopra,"I think it's great to be flawed. I am hugely flawed, and I like it this way. That's the fun of life. You fall, get up, make mistakes, learn from them, be human and be you."
Yungblud,"My personality is energetic, fun, yet slightly psychotic."
Phillipa Soo,"I've prioritized taking care of my mind, having fun, and doing things that make me laugh. And eating well - as in, really good food, like steak or pasta or fresh vegetables or an amazing dessert. You know, 'treat yo'self.'"
Hunter S. Thompson,"There are many harsh lessons to be learned from the gambling experience, but the harshest one of all is the difference between having Fun and being Smart."
Dane Cook,"When people refer to 'Back in the Day,' it was a Wednesday. Just a little fun fact for you."
Jordana Brewster,"People spend so much time in their cars, and it's a legal way to have fun by speeding a little bit or testing yourself a little bit, and you get to invest in your car. For some people, it becomes their baby."
Debbie Meyer,"Believe in yourself, not only in swimming, but in life itself. You always have to have fun. You have to have an open mind. If you're not enjoying it, don't do it. Life's too short."
Mitch Hedberg,"I want to get a vending machine, with fun sized candy bars, and the glass in front is a magnifying glass. You'll be mad, but it will be too late."
Andrew Breitbart,I love fighting for what I believe in. I love having fun while doing it.
Bob Hope,"If you watch a game, it's fun. If you play it, it's recreation. If you work at it, it's golf."
Dave Grohl,"If there's one thing I'm good at, it's gathering people together to do something fun."
William Glasser,"We are driven by five genetic needs: survival, love and belonging, power, freedom, and fun."
Liu Wen,"A fun pair of earrings is basically the finishing touch to any outfit; a nice watch is both practical and decorative, while the perfect unique bag is not only eye-catching but also timeless - it can be passed on to future generations."
Ernest Hemingway,"I love to go to the zoo. But not on Sunday. I don't like to see the people making fun of the animals, when it should be the other way around."
Nina Dobrev,"Even though you're growing up, you should never stop having fun."
John McEnroe,"The important thing is to learn a lesson every time you lose. Life is a learning process and you have to try to learn what's best for you. Let me tell you, life is not fun when you're banging your head against a brick wall all the time."
John Lasseter,"People want to be creatively satisfied, and having fun is such an important part of that."
Leo Burnett,Make it simple. Make it memorable. Make it inviting to look at. Make it fun to read.
Quentin Tarantino,Violence is one of the most fun things to watch.
Markus Persson,I think the only way I could make something fun and big is if I don't expect it to be.
Anthony Hopkins,"I think the healthy way to live is to make friends with the beast inside oneself, and that means not the beast but the shadow. The dark side of one's nature. Have fun with it and you know, is to accept everything about ourselves."
Sean Kingston,"I make sure I always surround myself with good, down to earth, fun, real people, who always keep me grounded."
Frank Ocean,You just do what you can and you have as much fun as possible.
Kirsten Dunst,"You can never control who you fall in love with, even when you're in the most sad, confused time of your life. You don't fall in love with people because they're fun. It just happens."
Garth Brooks,Just keep taking chances and having fun.
Michelle McCool,Don't give in to bullying or others making fun of people. Stand up for yourself. Stand up for your friends. Be that one person who is genuinely good-hearted.
Christopher Meloni,"You can be childlike without being childish. A child always wants to have fun. Ask yourself, 'Am I having fun?'"
Bipasha Basu,"I have always believed that if you need to take your clothes off to get your man, you've begun to lose the battle. If you pull it off right, you can do it in a very classy way... Being sexy is about suggestion; it's about the tease. It's not about being obvious and forcing yourself out in the open. That takes all the fun out of being a woman."
Mickey Rourke,It's no fun being a loser. Trust me.
Amanda Peet,"Beauty is only skin deep. If you go after someone just because she's beautiful but don't have anything to talk about, it's going to get boring fast. You want to look beyond the surface and see if you can have fun or if you have anything in common with this person."
Paula Abdul,Find fitness with fun dancing. It is fun and makes you forget about the dreaded exercise.
Mollie King,"'Sexy' is being independent, being confident and having fun."
Jimmy Buffett,Searching is half the fun: life is much more manageable when thought of as a scavenger hunt as opposed to a surprise party.
Jamie Foxx,"I went to college on a classical piano scholarship. My grandmother made me practice one full hour a day. Every day. Man. I thought all she wanted was for me not to have any fun. Next thing you know, you have a career in music. Now, not everybody's going to go on and be Mozart or Michael Jackson. But music makes you smarter."
Noel Coward,Work is much more fun than fun.
Chris Brown,Follow your dreams. Just make sure to have fun too.
Satoru Iwata,Video games are meant to be just one thing: Fun! Fun for everyone.
Franklin D. Roosevelt,It is fun to be in the same decade with you.
Keanu Reeves,"It's fun to be hopelessly in love. It's dangerous, but it's fun."
Heath Ledger,"I only do this because I'm having fun. The day I stop having fun, I'll just walk away."
Jerry Seinfeld,There is no such thing as fun for the whole family.
Tupac Shakur,It's the game of life. Do I win or do I lose? One day they're gonna shut the game down. I gotta have as much fun and go around the board as many times as I can before it's my turn to leave.
Kevyn Aucoin,"Beauty is about perception, not about make-up. I think the beginning of all beauty is knowing and liking oneself. You can't put on make-up, or dress yourself, or do you hair with any sort of fun or joy if you're doing it from a position of correction."
Will Thomas,There's no fear when you're having fun.
Lin-Manuel Miranda,"The fun for me in collaboration is, one, working with other people just makes you smarter; that's proven."
Suzanne Weyn,"Perfect happiness would be knowing that all my family and friends were happy and safe. Then I'd go to a tropical island with my husband where it was gorgeous and fun all day long and interesting and fun all evening. Good food and dancing would be nice, too, and weekly visits from those safe and happy family and friends. Plus world peace."
Bridgit Mendler,"In terms of fashion, I love adding a fun scarf to whatever I'm wearing - it's a great way to dress up a plain outfit!"
Laetitia Casta,It's always fun to immerse yourself in a different time period.
Pulkit Samrat,"Though I am a shy person at heart, I explode as a volcano once I open up with people around me, and then I am all fun."
Joe Perry,Take life on life's terms - one day at a time. And have fun while you're doing it.
Babe Ruth,"I'll promise to go easier on drinking and to get to bed earlier, but not for you, fifty thousand dollars, or two-hundred and fifty thousand dollars will I give up women. They're too much fun."
Amy Lee,If people are making fun of you then you're probably doing something right.
Hattie McDaniel,Putting a little time aside for clean fun and good humor is very necessary to relieve the tensions of our time.
Katharine Graham,To love what you do and feel that it matters how could anything be more fun?
Anne Wilson Schaef,"I realize that humor isn't for everyone. It's only for people who want to have fun, enjoy life, and feel alive."
Joseph Epstein,"Of the seven deadly sins, only envy is no fun at all."
Kalpana Chawla,"You must enjoy the journey because whether or not you get there, you must have fun on the way."
Brian May,Astronomy's much more fun when you're not an astronomer.
Lenny Kravitz,"People see my photos and think I labor over my image and I'm this cool, brooding artist. But I'm just having fun with it."
Brit Morin,"To me, age doesn't make a difference in terms of how playful or fun life can be."
Mary Karr,"When I got sober, I thought giving up was saying goodbye to all the fun and all the sparkle, and it turned out to be just the opposite. That's when the sparkle started for me."
Linus Torvalds,"Most good programmers do programming not because they expect to get paid or get adulation by the public, but because it is fun to program."
Doja Cat,"I just like to do the fun stuff. If I'm not having fun with it, I'm not going to do it for the rest of my life."
Taylor Kinney,"I'm a country boy. I grew up kicking around the woods, riding dirt bikes, playing football, climbing rocks and all that good stuff, so that's always been fun."
Hideo Kojima,Games shouldn't only be fun. They should teach or spark an interest in other things.
Nas,"I want to have fun. It's a beautiful life. You learn, you win, you lose, but you get up."
Erica Jong,Jealousy is all the fun you think they had.
Tim Howard,"Winning is fun, but those moments that you can touch someone's life in a very positive way are better."
Richard Branson,"Fun is one of the most important - and underrated - ingredients in any successful venture. If you're not having fun, then it's probably time to call it quits and try something else."
Sue Perkins,I always want to have fun and be silly and be childish. I'm very childish. I am at my happiest when I am a child and I am just playing.
Daniel J. Boorstin,Technology is so much fun but we can drown in our technology. The fog of information can drive out knowledge.
Diane Kruger,It's fun being one of the boys. It's fun to have a character that's rough and gets down and dirty and not to be this precious girl who just sits in the corner and just sort of stands by the action.
Billy Joel,I'd rather laugh with the sinners than cry with the saints - the sinners are much more fun.
