author,quote
DMX,I just find myself happy with the simple things. Appreciating the blessings God gave me.
Marcel Proust,"Let us be grateful to people who make us happy, they are the charming gardeners who make our souls blossom."
Omar Khayyam,Be happy for this moment. This moment is your life.
William Inge,The happiest people seem to be those who have no particular cause for being happy except that they are so.
Ileana D'Cruz,"Love yourself for who you are, and trust me, if you are happy from within, you are the most beautiful person, and your smile is your best asset."
Abraham Lincoln,Most folks are as happy as they make up their minds to be.
Martha Washington,I am determined to be cheerful and happy in whatever situation I may find myself. For I have learned that the greater part of our misery or unhappiness is determined not by our circumstance but by our disposition.
Avril Lavigne,"Life is like a roller coaster, live it, be happy, enjoy life."
Socrates,"By all means, marry. If you get a good wife, you'll become happy; if you get a bad one, you'll become a philosopher."
Helen Keller,"Your success and happiness lies in you. Resolve to keep happy, and your joy and you shall form an invincible host against difficulties."
Gretchen Rubin,"One of the best ways to make yourself happy in the present is to recall happy times from the past. Photos are a great memory-prompt, and because we tend to take photos of happy occasions, they weight our memories to the good."
Norman Vincent Peale,Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.
Marcus Aurelius,"Very little is needed to make a happy life; it is all within yourself, in your way of thinking."
Carl Jung,"Even a happy life cannot be without a measure of darkness, and the word happy would lose its meaning if it were not balanced by sadness. It is far better take things as they come along with patience and equanimity."
Leo Tolstoy,"If you want to be happy, be."
Anne Frank,Think of all the beauty still left around you and be happy.
Franz Schubert,"Happy is the man who finds a true friend, and far happier is he who finds that true friend in his wife."
Audrey Hepburn,The most important thing is to enjoy your life - to be happy - it's all that matters.
Robert Baden-Powell,"Try and leave this world a little better than you found it, and when your turn comes to die, you can die happy in feeling that at any rate, you have not wasted your time but have done your best."
Dustin Poirier,"I need to celebrate life because I'm in a good spot, I work hard, and I am happy with who I am and happy with what I do for a living, and sometimes I just focus and overwhelm myself so much with the fights and getting better, that I just need to slow it down and enjoy life and enjoy training."
Groucho Marx,"I, not events, have the power to make me happy or unhappy today. I can choose which it shall be. Yesterday is dead, tomorrow hasn't arrived yet. I have just one day, today, and I'm going to be happy in it."
Dalai Lama,The purpose of our lives is to be happy.
Albert Einstein,"A table, a chair, a bowl of fruit and a violin; what else does a man need to be happy?"
Adam Smith,"No society can surely be flourishing and happy, of which the far greater part of the members are poor and miserable."
Manoj Bajpayee,"Struggle teaches you a lot of things, and I am happy that I witnessed a roller coaster ride. The journey has improved me as a person and made me more mature."
Dada Vaswani,"Happiness, true happiness, is an inner quality. It is a state of mind. If your mind is at peace, you are happy. If your mind is at peace, but you have nothing else, you can be happy. If you have everything the world can give - pleasure, possessions, power - but lack peace of mind, you can never be happy."
Orson Welles,"If you want a happy ending, that depends, of course, on where you stop your story."
J. Donald Walters,"Happiness is an attitude of mind, born of the simple determination to be happy under all outward circumstances."
Golda Meir,"Trust yourself. Create the kind of self that you will be happy to live with all your life. Make the most of yourself by fanning the tiny, inner sparks of possibility into flames of achievement."
Alice Walker,Don't wait around for other people to be happy for you. Any happiness you get you've got to make yourself.
Leonardo da Vinci,"As a well-spent day brings happy sleep, so a life well spent brings happy death."
Anton Chekhov,People don't notice whether it's winter or summer when they're happy.
Lilly Pulitzer,Being happy never goes out of style.
Marilu Henner,"Being in control of your life and having realistic expectations about your day-to-day challenges are the keys to stress management, which is perhaps the most important ingredient to living a happy, healthy and rewarding life."
Doja Cat,"If your only intent is to be seen, you'll never be seen. If your intent is to be happy, comfortable, genuine, and true in craft, you're destined to be noticed."
Albert Camus,You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.
Christie Brinkley,"I believe in true love, and I believe in happy endings. And I believe."
Clint Eastwood,There's only one way to have a happy marriage and as soon as I learn what it is I'll get married again.
Ovid,Happy are those who dare courageously to defend what they love.
Guillaume Apollinaire,Now and then it's good to pause in our pursuit of happiness and just be happy.
Paul Walker,"You know, all that really matters is that the people you love are happy and healthy. Everything else is just sprinkles on the sundae."
Philip Green,It's all about quality of life and finding a happy balance between work and friends and family.
J. D. Salinger,I am a kind of paranoid in reverse. I suspect people of plotting to make me happy.
Benjamin Franklin,"Money has never made man happy, nor will it, there is nothing in its nature to produce happiness. The more of it one has the more one wants."
Tom Brady,"Too often in life, something happens and we blame other people for us not being happy or satisfied or fulfilled. So the point is, we all have choices, and we make the choice to accept people or situations or to not accept situations."
Will Arnett,I am happy because I'm grateful. I choose to be grateful. That gratitude allows me to be happy.
Marc Newson,"To create well I have to be in a good mood, happy and cool."
Immanuel Kant,"Morality is not the doctrine of how we may make ourselves happy, but how we may make ourselves worthy of happiness."
James Broughton,I'm happy to report that my inner child is still ageless.
Ariana Grande,"Be happy with being you. Love your flaws. Own your quirks. And know that you are just as perfect as anyone else, exactly as you are."
Tena Desae,"Stay positive and happy. Work hard and don't give up hope. Be open to criticism and keep learning. Surround yourself with happy, warm and genuine people."
Robert Louis Stevenson,"The world is so full of a number of things, I'm sure we should all be as happy as kings."
Earl Nightingale,"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored."
Henry Ward Beecher,The art of being happy lies in the power of extracting happiness from common things.
Julia Roberts,"You know it's love when all you want is that person to be happy, even if you're not part of their happiness."
Rita Moreno,Smell the roses. Smell the coffee. Whatever it is that makes you happy.
Kurt Cobain,"If you die you're completely happy and your soul somewhere lives on. I'm not afraid of dying. Total peace after death, becoming someone else is the best hope I've got."
Lee Radziwill,"I believe that without memories there is no life, and that our memories should be of happy times."
Jane Fonda,"It's never too late - never too late to start over, never too late to be happy."
Booth Tarkington,Cherish all your happy moments; they make a fine cushion for old age.
William James,I don't sing because I'm happy; I'm happy because I sing.
Lil Yachty,"I am happy every day, because life is moving in a very positive way."
Thich Nhat Hanh,"If you truly get in touch with a piece of carrot, you get in touch with the soil, the rain, the sunshine. You get in touch with Mother Earth and eating in such a way, you feel in touch with true life, your roots, and that is meditation. If we chew every morsel of our food in that way we become grateful and when you are grateful, you are happy."
Maria Sharapova,"It's easy to impress me. I don't need a fancy party to be happy. Just good friends, good food, and good laughs. I'm happy. I'm satisfied. I'm content."
Marcel Pagnol,"The reason people find it so hard to be happy is that they always see the past better than it was, the present worse than it is, and the future less resolved than it will be."
Albert Schweitzer,"I don't know what your destiny will be, but one thing I know: the only ones among you who will be really happy are those who will have sought and found how to serve."
Elon Musk,I will never be happy without having someone. Going to sleep alone kills me.
George Bernard Shaw,A happy family is but an earlier heaven.
