author,quote
Angelique Kerber,"Don't make things too complicated. Try to relax, enjoy every moment, get used to everything."
Moises Arias,It is nice finding that place where you can just go and relax.
William S. Burroughs,Your mind will answer most questions if you learn to relax and wait for the answer.
Alan Watts,"To have faith is to trust yourself to the water. When you swim you don't grab hold of the water, because if you do you will sink and drown. Instead you relax, and float."
Thich Nhat Hanh,"We will be more successful in all our endeavors if we can let go of the habit of running all the time, and take little pauses to relax and re-center ourselves. And we'll also have a lot more joy in living."
Christian Louboutin,"If you do what you love, it is the best way to relax."
David L. Wolper,Relax! Life is beautiful!
Prabhas,"A holiday is an opportunity to journey within. It is also a chance to chill, to relax. It is when I switch on my rest mode."
Sydney J. Harris,The time to relax is when you don't have time for it.
Robert A. Heinlein,"Women and cats will do as they please, and men and dogs should relax and get used to the idea."
Chris Carmack,"I have gotten better at saying to myself, 'Relax and just take this moment in. Appreciate it for what it is.'"
A. J. Green,"You just have to take a deep breath, relax and let the game come to you."
Diljit Dosanjh,"It's not like after winning an award, your job is done and you can relax. You still have to work hard."
Pope Francis,"Together with a culture of work, there must be a culture of leisure as gratification. To put it another way: people who work must take the time to relax, to be with their families, to enjoy themselves, read, listen to music, play a sport."
Aaron Rodgers,"Five letters here just for everybody out there in Packer-land: R-E-L-A-X, Relax. We're going to be OK."
Laurie Colwin,"We need time to defuse, to contemplate. Just as in sleep our brains relax and give us dreams, so at some time in the day we need to disconnect, reconnect, and look around us."
Tom Welling,"I have so much chaos in my life, it's become normal. You become used to it. You have to just relax, calm down, take a deep breath and try to see how you can make things work rather than complain about how they're wrong."
Barbara Kingsolver,"Stop a minute, right where you are. Relax your shoulders, shake your head and spine like a dog shaking off cold water. Tell that imperious voice in your head to be still."
Kubra Sait,"People choose to struggle when people don't want to relax. Sometimes it is not on your side. Relax; calm down. No matter how hard the waves are, you will float on the ocean."
Steve Nash,"You have to rely on your preparation. You got to really be passionate and try to prepare more than anyone else, and put yourself in a position to succeed, and when the moment comes you got to enjoy, relax, breathe and rely on your preparation so that you can perform and not be anxious or filled with doubt."
Charles Bukowski,"I can relax with bums because I am a bum. I don't like laws, morals, religions, rules. I don't like to be shaped by society."
Tulisa,"I grind and I graft, but I will make sure that I get that time off here and there to unwind and relax and have a life."
Eliud Kipchoge,"I wake up at 5am, by 6am I'm on the way to training. I come back and relax, have lunch, take a little nap, then train again at 4pm for an evening run. Then relax, dinner and bed at 9pm until the next day."
Floor Jansen,It's good to reflect on life and take a step back and sit and relax and do something else.
Charles Barkley,The main thing to do is relax and let your talent do the work.
Gareth Gates,I like to have quiet evenings and relax.
Tristan Wilds,"Sometimes I wish that I could go into a time machine right now and just look at my self and say, 'Calm down. Things are gonna be fine. Things are gonna be all great. Just relax.'"
Ming Xi,I like to go to places where you can relax a little after you're done working.
Snoop Dogg,"I used to get stressed out all the time when I thought winning was important. I wanted to try to win and help my kids win. Once I figured out it wasn't about winning or losing, it was about teaching these kids about being men, that's when I started to relax."
Taika Waititi,Music - it's motivational and just makes you relax.
Robin S. Sharma,"If you've tried everything possible to get an outcome, and it just hasn't worked out as planned, stop trying so hard. Relax. Maybe the timing's not right. Maybe it wasn't in your best interests. Maybe while one door seems to be closing, another is opening."
Miranda Kerr,"If you want to relax, watch the clouds pass by if you're laying on the grass, or sit in front of the creek; just doing nothing and having those still moments is what really rejuvenates the body."
Kenny Chesney,"My mind is constantly going. For me to completely relax, I gotta get rid of my cell phone."
Paloma Picasso,I don't have anything to prove anymore. I can relax.
Chester W. Nimitz,"That is not to say that we can relax our readiness to defend ourselves. Our armament must be adequate to the needs, but our faith is not primarily in these machines of defense but in ourselves."
Oscar de la Renta,Gardening is how I relax. It's another form of creating and playing with colors.
Friedrich Nietzsche,Art raises its head where creeds relax.
Channing Tatum,"I think all jocks have a sensitive side. It's just, will they show it to anybody? Will they let their guard down and stop being tough and the cool jock guy around their friends, or just relax? I don't know if it's best to say opening up, but just relax and really say what you're actually thinking, and not what you think people want to hear."
Gabriella Wilde,Being in water makes me relax instantly.
Nate Diaz,"I'm trying to stay focused on what I'm doing. I don't want a whole lot of things going on - people to call back, or text messages or whatever. I chill out, relax a little bit, and then I don't have those issues."
Austin Mahone,"To be honest, I know this probably sounds corny or whatever because I'm a musician, but listening to music really helps me relax and calm down - listening to my favorite songs. Also, laughing and hanging out with my friends."
Jos Buttler,"It can feel like such a hectic lifestyle. We are always busy and always under pressure. So giving myself that 10 minutes of meditation each day has really helped me to relax, restore some perspective, and gain that meditative state."
Marianne Vos,"I like to sit down, relax, have a cup of coffee on the terrace and read a book. I like to travel the world - and I'm lucky to see so much through cycling."
Courtney Ford,"The more comfortable you are, and the more you can relax, the more truthful your performance is."
Kate Garraway,I think holidays come in all sizes - sometimes you just need to relax.
Zac Taylor,"I think, you think critically all day, you've got a lot of decisions to make, so you've got to make sure that you take a couple of seconds every day to relax your brain a little bit."
Doris Kearns Goodwin,"FDR once said he was like a cat, that he would pounce and then relax. That's much harder to do in the 24-hour cable world, because it's almost like the press demands of you to be saying something or doing something every day."
Sam Harris,"On the subject of religious belief, we relax standards of reasonableness and evidence that we rely on in every other area of our lives. We relax so totally that people believe the most ludicrous propositions, and are willing to organize their lives around them."
Elizabeth Hurley,"We all need to relax more, but I don't find it easy."
Stirling Moss,It is necessary to relax your muscles when you can. Relaxing your brain is fatal.
Sigrid,There are two places where I can completely relax: in nature and by the piano.
Kevin Hart,"My goals are so high that I don't have time to relax in any way, shape or form."
Gwendoline Christie,"I absolutely love to relax and have fun. I like socializing; I like chatting. I like dancing, mixing with friends."
Tom Osborne,The odds are always against you no matter what your previous history is. You have to overcome the tendency to relax.
Thomas Aquinas,"Pray thee, spare, thyself at times: for it becomes a wise man sometimes to relax the high pressure of his attention to work."
Jacques Pepin,"When you are at home, even if the chicken is a little burnt, what's the big deal? Relax."
Summer Sanders,"No matter whether you're an Olympic swimmer or you're someone who doesn't like to swim, your kids should learn this life skill. You can't be next to them every second, so they must be able to relax in the water and get themselves to safety."
Greg Rutherford,"I live in a beautiful village in the middle of the countryside, and being able to disappear off on my bike for a couple of hours two or three times a week is a wonderful way to relax."
Miranda Hart,"I only really and truly fully relax on my own. Give me a sun lounger, a pool and a sea view, and I'm happy."
Selena Gomez,"I love how Pilates makes me feel, like it opens me up. I have the hardest time breathing, weirdly enough. Even when I have conversations, I need to work on my breathing, so it's something I enjoy because it's peaceful and it helps me relax."
Temple Grandin,"The squeeze machine is not going to cure anybody, but it may help them relax; and a relaxed person will usually have better behavior."
